Price,Beds,Baths,URL,Sqft
"$2,999,000",5,4.5,https://www.redfin.com/CA/Calabasas/25887-Chalmers-Pl-91302/home/3303668,"4,740Sq Ft"
"$4,237,954",6,7,https://www.redfin.com/CA/Calabasas/5512-Collingwood-Cir-91302/home/3304360,"7,239Sq Ft"
"$3,175,843",6,6.5,https://www.redfin.com/CA/Calabasas/5431-Villawood-Cir-91302/home/3304406,"5,342Sq Ft"
"$1,761,987",4,3,https://www.redfin.com/CA/Calabasas/5200-Cangas-Dr-91301/home/3323738,"2,751Sq Ft"
"$795,313",3,2.5,https://www.redfin.com/CA/Calabasas/5340-Las-Virgenes-Rd-91302/unit-7/home/3323896,"1,520Sq Ft"
"$1,256,105",4,2,https://www.redfin.com/CA/Calabasas/26157-Hatmor-Dr-91302/home/3324366,"1,781Sq Ft"
"$1,424,558",3,2,https://www.redfin.com/CA/Calabasas/5487-Parkmor-Rd-91302/home/3329304,"1,891Sq Ft"
"$377,038",—,—,https://www.redfin.com/CA/Calabasas/5421-Parkmor-Rd-91302/home/3329431,"7,899Sq Ft (Lot)"
"$1,300,000",4,3,https://www.redfin.com/CA/Calabasas/5615-Ruthwood-Dr-91302/home/3329790,"2,024Sq Ft"
"$1,282,451",4,3,https://www.redfin.com/CA/Calabasas/5751-Parkmor-Rd-91302/home/3329914,"2,270Sq Ft"
"$1,635,738",4,3,https://www.redfin.com/CA/Calabasas/26077-Farmfield-Rd-91302/home/3330132,"1,850Sq Ft"
"$785,000",2,1.5,https://www.redfin.com/CA/Calabasas/26270-Alizia-Canyon-Dr-91302/home/3330471,"1,390Sq Ft"
"$761,797",3,2,https://www.redfin.com/CA/Calabasas/26018-Alizia-Canyon-Dr-91302/unit-A/home/3330683,"1,614Sq Ft"
"$792,419",3,2.5,https://www.redfin.com/CA/Calabasas/26003-Alizia-Canyon-Dr-91302/unit-B/home/3330822,"1,352Sq Ft"
"$799,854",3,3,https://www.redfin.com/CA/Calabasas/26124-Alizia-Canyon-Dr-91302/unit-D/home/3330997,"1,518Sq Ft"
"$779,132",3,2.5,https://www.redfin.com/CA/Calabasas/26122-Alizia-Canyon-Dr-91302/unit-C/home/3331008,"1,649Sq Ft"
"$1,232,446",4,3,https://www.redfin.com/CA/Calabasas/26914-Helmond-Dr-91301/home/3331048,"1,953Sq Ft"
"$1,888,462",4,3,https://www.redfin.com/CA/Calabasas/26936-Helmond-Dr-91301/home/3331057,"3,067Sq Ft"
"$1,292,666",5,4,https://www.redfin.com/CA/Calabasas/5054-Ludgate-Dr-91301/home/3331099,"2,887Sq Ft"
"$1,153,081",4,3,https://www.redfin.com/CA/Calabasas/5012-Ludgate-Dr-91301/home/3331117,"2,215Sq Ft"
"$1,523,647",4,3,https://www.redfin.com/CA/Calabasas/5041-Ambridge-Dr-91301/home/3335980,"2,322Sq Ft"
"$2,013,716",5,3,https://www.redfin.com/CA/Calabasas/5223-Ambridge-Dr-91301/home/3336241,"3,251Sq Ft"
"$1,588,781",5,3,https://www.redfin.com/CA/Calabasas/5218-Dantes-View-Dr-91301/home/3336251,"3,057Sq Ft"
"$1,900,000",5,4,https://www.redfin.com/CA/Calabasas/27041-Esward-Dr-91301/home/3336804,"3,458Sq Ft"
"$1,414,697",5,3,https://www.redfin.com/CA/Calabasas/5325-Cangas-Dr-91301/home/3336827,"2,959Sq Ft"
"$795,097",3,2.5,https://www.redfin.com/CA/Calabasas/26378-W-Plata-Ln-91302/home/3337158,"1,595Sq Ft"
"$750,539",3,3,https://www.redfin.com/CA/Calabasas/26323-W-Bravo-Ln-91302/home/3337400,"1,595Sq Ft"
"$747,324",3,2.5,https://www.redfin.com/CA/Calabasas/5438-Las-Virgenes-Rd-91302/home/3337515,"1,595Sq Ft"
"$774,038",3,2.5,https://www.redfin.com/CA/Calabasas/5626-Las-Virgenes-Rd-91302/unit-24/home/3337720,"1,705Sq Ft"
"$738,868",3,3,https://www.redfin.com/CA/Calabasas/5610-Las-Virgenes-Rd-91302/unit-44/home/3337802,"1,726Sq Ft"
"$673,838",2,2.5,https://www.redfin.com/CA/Calabasas/5606-Las-Virgenes-Rd-91302/unit-59/home/3342647,"1,265Sq Ft"
